,time,title,review,comment
12,2022.02.12. 16:26,헬린이 식단,"아침: 오트밀 30g(소금, 후추, 참기름 아주 조금), 계란 5개 혹은 닭가슴살, 야채주스
점심: 오트밀 30g(소금, 후추, 참기름 아주 조금), 닭가슴살, 장아찌 조금
저녁: 계란+ 양파 볶음(굴소스 조금), 양배추찜
현재 이렇게 식단하면서 헬스 2개월째 진행중입니다.. 
추가해야 할 영양분이 있는지 알려주시면 감사하겠습니다!","[['아침저녁 아몬드 20알 아침 방울토마토 10개 추가하면 좋을것 같아요!'], ['오트밀은 다이어트할 때 필수더군요'], ['오트밀 처음엔 맛이 없는데 먹다보면 꽤 괜찮더라구요 ㅋ']]"
13,2022.02.10. 19:56,안주로 뭘먹을지~~,"설선물로 와인이 많이 들어와서^^ 있으니 자꾸 먹고 싶어요
간단하게 치즈랑 과일이랑 먹을까
아니면 고기를 구울까 고민중이에요^^","[['무슨와인이에요?'], ['고기로 하시죠']]"
14,2022.02.01. 21:01,설 저녁,"아내랑 저녁
술은 오뎅탕에 반잔 짠😋😋",[['맛있겠네요']]
15,2022.01.30. 18:20,굽네치킨 이벤트,"대장님와 한마리 꺼-억
잘 먹었습니다❤️","[['맛잇게 드셨는지요 ㅣㅎㅎ'], ['순삭시켜버렸습니당!👍'], ['캬ㅏㅏㅏ 뿌듯합니다'], ['야미!!👍👍'], ['치킨 좋죠']]"
16,2022.01.24. 17:51,조명 샀는데 크기조절 실패,생각보다 더 엄청 크네요,[['오우 이게 뭐죠??? 엄청 커보인느데...?!']]
17,2021.12.20. 11:19,"송리단길 피자네버슬립스, 오린지 카페, 히사이시 조 연주회 다녀왔습니다",안녕하세여? 여러분의 오덩입니다. 어제는 5개월만에 여자친구와 낮 데이트를 했습니다...! 여자친구와 휴무가 안맞아서 이렇게 노는 날이 별로 없는데 여자친구가 특별히 시간을 내줬네여 허허 그래서 크리스마스 기념으로 좀 놀았습니다. 하지만 크리스마스 이브와 당일에는 여자친구가 일을 한다네요? 깔깔,[]
18,2021.12.19. 18:37,이번 크리스마스는 화이트 크리스마스일까요?,"어제 갑자가 쏟아진 눈 때문에 당황을 하긴했는데
크리스마스에 많이는 아니더라도 눈 좀 오면 이쁠거같더라구요
이번 크리스마스는 눈 내렸으면 좋겠네요 ㅎㅎ","[['크리스마스때 강추위 예상이드네요 ㅜㅠㅠ'], ['화이트 크리스마스 마지막이 몇년도였는지 희미하네요 기억이 ㅋ이왕이면 저도 화이트 크리스마스 였으면 조금 더 낭만적일거 같긴하네유 ㅠㅠ']]"
19,2021.12.13. 12:23,연남동 대충 유원지를 다녀왔습니다,어제 부터 급격하게 추워졌는데 셔츠하나에 코트 하나만 입고 나갔다가 얼어죽을뻔했습니다... 게다가 공복에 커피를 급하게 마셔서 상태가 급격히 안좋아지는 바람에 집으로 돌아와 아쉬웠던 주말 이네요 ㅠㅠㅠ,[['괜찮으셨다니 너무 다행이었어용!']]
20,2021.12.06. 16:15,근황 및 요즘 즐기는 것들,"아주 오랜만에 끄적끄적 해봐요 ㅎㅎ
일단 저는 잘 그리고 열심히 하루하루를 보내고 있습니다.","[['올만이시네요 패션왕님!!ㅜㅜ'], ['짜잔!!!!!!'], ['헉 저 참치크래커 추억돋는ㅋㅋ 오 근데 할배님 스타일 넘 멋지네요'], ['ㅋㅋㅋㅋ참치크래커 군대밖에서는 참 보기 힘든 희귀템인거 같아윸ㅋㅋㅋ'], ['참치크래커 존맛탱'], ['참치크래커 존맛탱']]"
21,2021.11.22. 21:08,환기할때 패딩입고 ~~,"저녁에 막창 구워서 먹었는데 먹을땐 몰랐던 이 꾸릿꾸릿한 냄새~~
쓰레기 버리러 나갔다 오니 방구같은 이냄새에 문 활짝 열고 환기중이에요
와~~ 너무 추워서 패딩잠바 입고 있어요 ㅋㅋㅋ",[['감기조심요..']]
