date,corona,capsule,machine,homecafe
2018-04-14,0.00819,18.40184,31.28604,14.61716
2018-04-15,0.00839,19.32385,32.76979,15.91647
2018-04-16,0.00835,19.63119,35.97199,13.50348
2018-04-17,0.0078,19.09335,34.53995,14.19953
2018-04-18,0.00849,18.78601,33.09598,13.31786
2018-04-19,0.00876,18.9781,31.89068,12.94663
2018-04-20,0.00762,16.21206,30.8087,12.66821
2018-04-21,0.00866,16.36573,26.79501,11.22969
2018-04-22,0.00827,22.39723,34.34504,15.17401
2018-04-23,0.0079,22.74298,38.01264,15.82366
2018-04-24,0.00868,20.63004,37.68248,14.38515
2018-04-25,0.00778,16.36573,30.15235,11.3225
2018-04-26,0.0086,17.01882,28.46573,13.13225
2018-04-27,0.0086,15.25163,24.47591,11.3225
2018-04-28,0.00821,15.02112,22.9484,10.16241
2018-04-29,0.00741,14.94429,26.37336,12.90023
2018-04-30,0.00743,16.21206,30.99964,13.41067
2018-05-01,0.00829,18.40184,31.8509,12.15777
2018-05-02,0.00668,17.94083,34.13819,13.50348
2018-05-03,0.00833,16.86515,31.75941,12.06496
2018-05-04,0.00866,14.67537,25.99546,12.6218
2018-05-05,0.00858,15.05954,21.51636,9.41995
2018-05-06,0.00717,16.21206,26.03524,13.59628
2018-05-07,0.00913,18.40184,28.65269,14.70997
2018-05-08,0.00888,18.05608,33.23919,13.54988
2018-05-09,0.00772,19.63119,31.64803,14.24593
2018-05-10,0.00862,16.90357,29.60738,12.48259
2018-05-11,0.00827,16.21206,26.38131,13.22505
2018-05-12,0.00796,16.13522,26.44496,15.31322
2018-05-13,0.00866,17.32616,26.85866,15.12761
2018-05-14,0.00845,17.21091,30.93201,15.59164
2018-05-15,0.00872,16.48098,27.82926,15.12761
2018-05-16,0.01029,17.90242,28.61689,15.0812
2018-05-17,0.00701,14.25278,24.71856,13.45707
2018-05-18,0.00882,13.98386,25.14817,14.06032
2018-05-19,0.00815,12.13983,19.93714,9.37354
2018-05-20,0.00786,16.17364,23.15127,14.52436
2018-05-21,0.00917,15.4053,25.20784,13.8747
2018-05-22,0.00774,16.44256,26.2938,15.35962
2018-05-23,0.00807,15.90472,29.27721,13.8747
2018-05-24,0.00878,16.44256,26.24209,15.22041
2018-05-25,0.00888,15.55897,25.30729,13.13225
2018-05-26,0.00906,11.67883,23.98265,11.74013
2018-05-27,0.00819,16.94199,25.76872,14.80278
2018-05-28,0.0088,15.44371,44.31759,16.3341
2018-05-29,0.0101,15.90472,37.60292,16.98375
2018-05-30,0.00953,15.21321,33.3267,13.64269
2018-05-31,0.0088,14.7522,30.92804,16.2877
2018-06-01,0.0101,13.75336,28.056,13.31786
2018-06-02,0.00898,12.2935,22.89669,11.55452
2018-06-03,0.00972,14.71379,26.08297,14.38515
2018-06-04,0.00976,14.98271,30.92008,13.73549
2018-06-05,0.00884,13.83019,26.23413,13.27146
2018-06-06,0.00909,14.13753,24.48784,13.03944
2018-06-07,0.00947,14.56012,27.23656,16.14849
2018-06-08,0.00941,14.17595,23.76785,13.22505
2018-06-09,0.00941,12.40875,21.12653,14.75638
2018-06-10,0.01002,14.98271,24.02243,16.2877
2018-06-11,0.01055,14.48328,29.53578,14.94199
2018-06-12,0.00996,15.09796,25.14817,16.3341
2018-06-13,0.00847,15.09796,24.28895,13.64269
2018-06-14,0.01021,14.36803,27.54683,14.89559
2018-06-15,0.01043,14.86746,25.72894,15.0348
2018-06-16,0.01086,11.60199,21.80277,12.06496
2018-06-17,0.01094,15.05954,24.98906,15.49883
2018-06-18,0.01243,14.17595,29.62727,13.64269
2018-06-19,0.01125,16.44256,28.41401,13.64269
2018-06-20,0.01076,16.25048,27.02573,15.0812
2018-06-21,0.01194,15.6358,27.11722,13.36426
2018-06-22,0.01161,13.44602,24.12983,14.15313
2018-06-23,0.01306,12.75451,20.74863,11.2761
2018-06-24,0.06768,13.94544,22.33581,14.47795
2018-06-25,0.01043,15.25163,28.99478,14.66357
2018-06-26,0.01039,14.02228,33.14372,16.51972
2018-06-27,0.01157,14.59854,31.46903,12.11136
2018-06-28,0.01455,13.25393,26.10684,14.06032
2018-06-29,0.01063,12.48559,23.69227,13.64269
2018-06-30,0.01072,12.10142,22.121,13.73549
2018-07-01,0.01123,16.67306,28.84362,19.11832
2018-07-02,0.01247,14.94429,35.10083,20.74245
2018-07-03,0.01061,15.25163,29.11412,14.75638
2018-07-04,0.01057,14.48328,28.64871,15.12761
2018-07-05,0.0139,15.82789,26.16253,14.61716
2018-07-06,0.01351,13.48444,23.77182,13.08584
2018-07-07,0.01275,10.79523,20.44234,10.95127
2018-07-08,0.01133,64.34882,23.40586,13.7819
2018-07-09,0.01169,20.3227,29.24937,16.89095
2018-07-10,0.01037,17.82558,26.44894,17.21577
2018-07-11,0.01023,15.17479,25.1243,14.94199
2018-07-12,0.01004,15.4053,24.57138,13.36426
2018-07-13,0.01141,14.06069,20.87592,12.38979
2018-07-14,0.00919,12.37034,18.3977,11.74013
2018-07-15,0.00931,12.86976,22.07327,14.01392
2018-07-16,0.00919,13.48444,26.30971,16.75174
2018-07-17,0.0098,13.86861,27.67015,15.26682
2018-07-18,0.0101,15.09796,24.52762,12.20417
2018-07-19,0.01004,14.56012,23.42575,12.29698
2018-07-20,0.01455,13.67652,20.61736,12.38979
2018-07-21,0.01326,10.41106,17.33959,12.94663
2018-07-22,0.00984,11.79408,20.04455,14.06032
2018-07-23,0.01135,10.87207,24.92541,15.68445
2018-07-24,0.00986,13.44602,23.98265,14.61716
2018-07-25,0.01082,13.06185,23.17912,13.17865
2018-07-26,0.00923,11.98616,22.37161,12.34338
2018-07-27,0.01049,10.37264,20.18775,10.76566
2018-07-28,0.01002,8.64387,16.6355,10.0232
2018-07-29,0.00943,11.52516,19.70245,14.15313
2018-07-30,0.01286,12.40875,22.68586,15.63805
2018-07-31,0.01015,11.40991,21.82664,14.10672
2018-08-01,0.00994,11.67883,22.65802,12.80742
2018-08-02,0.01163,13.06185,22.0494,13.96751
2018-08-03,0.01212,10.91048,20.48609,12.66821
2018-08-04,0.01074,10.21897,17.8408,11.46171
2018-08-05,0.00978,10.67998,19.36831,14.43155
2018-08-06,0.01053,13.86861,25.22375,15.73085
2018-08-07,0.01204,13.06185,24.72652,16.84454
2018-08-08,0.01165,15.44371,23.8474,15.22041
2018-08-09,0.01182,14.44487,23.92696,15.49883
2018-08-10,0.0143,12.52401,21.54819,14.94199
2018-08-11,0.01426,9.56588,18.35792,12.6218
2018-08-12,0.02117,13.79177,20.63327,16.24129
2018-08-13,0.02557,15.13638,27.33601,18.56148
2018-08-14,0.01357,13.36918,25.28342,14.80278
2018-08-15,0.01133,14.48328,22.55459,16.84454
2018-08-16,0.01133,12.90818,26.08695,15.63805
2018-08-17,0.01051,13.36918,23.71216,14.57076
2018-08-18,0.01049,11.52516,20.60941,14.06032
2018-08-19,0.01116,14.13753,21.91017,16.89095
2018-08-20,0.00992,12.79293,26.03922,15.77726
2018-08-21,0.00998,14.21436,25.7727,16.10208
2018-08-22,0.01065,15.90472,24.90154,16.24129
2018-08-23,0.00902,15.25163,23.51724,21.90255
2018-08-24,0.00941,13.10026,24.60718,30.0696
